Session identifier;38155;0,197708333; 14:31:52;;;;;;;
E;32828;67;13:33:14:0;51.451.798.333;5.486.191.667;7;A;9292;;
105;-91;;;;;;;;;
106;-94;;;;;;;;;
107;-94;;;;;;;;;
108;-94;;;;;;;;;
109;-93;;;;;;;;;
110;-93;;;;;;;;;
111;-94;;;;;;;;;
112;-97;;;;;;;;;
114;-94;;;;;;;;;
115;-95;;;;;;;;;
116;-94;;;;;;;;;
117;-94;;;;;;;;;
118;-94;;;;;;;;;
119;-93;;;;;;;;;
120;-95;;;;;;;;;
121;-94;;;;;;;;;
122;-94;;;;;;;;;
123;-93;;;;;;;;;
124;-94;;;;;;;;;
?12?/D?????.?yX$*?f??p??S;;;;;;;;;;
F;75450;59;13:33:16:0;51.452.178.333;5.485.840.000;9;A;9292;;
89;-95;;;;;;;;;
90;-101;;;;;;;;;
91;-101;;;;;;;;;
92;-100;;;;;;;;;
93;-100;;;;;;;;;
94;-95;;;;;;;;;
95;-94;;;;;;;;;
96;-97;;;;;;;;;
97;-100;;;;;;;;;
98;-103;;;;;;;;;
99;-101;;;;;;;;;
100;-100;;;;;;;;;
101;-100;;;;;;;;;
102;-101;;;;;;;;;
103;-98;;;;;;;;;
104;-94;;;;;;;;;
105;-91;;;;;;;;;
106;-93;;;;;;;;;
107;-96;;;;;;;;;
108;-98;;;;;;;;;
109;-97;;;;;;;;;
110;-99;;;;;;;;;
F;75450;59;13:33:16:0;51.452.178.333;5.485.840.000;9;A;9292;;
111;-98;;;;;;;;;
112;-97;;;;;;;;;
114;-96;;;;;;;;;
115;-96;;;;;;;;;
116;-94;;;;;;;;;
117;-93;;;;;;;;;
118;-95;;;;;;;;;
119;-96;;;;;;;;;
120;-97;;;;;;;;;
121;-95;;;;;;;;;
122;-95;;;;;;;;;
123;-96;;;;;;;;;
124;-97;;;;;;;;;
125;-95;;;;;;;;;
126;-94;;;;;;;;;
127;-96;;;;;;;;;
128;-102;;;;;;;;;
130;-100;;;;;;;;;
